Planet,Longitude,Nakshatra,Padam,Nakshatra Lord,Full Degree,Latitude/Shara,Speed(deg/day),RightAscension,Declination/Kranti,DateTime
Varun ,22°Dhan23′ 42″, P Ashadha,3,Shukra,262.4,00°N47′ 29″,0.03,287.4,-21.68,1991-03-01 18:00:00
Lagna ,13°Simh18′ 19″, Magha,4,Ketu,133.31,00°N00′ 00″,255.71,158.77,8.93,1991-03-01 18:30:00
Lagna ,22°Kark02′ 50″, Ashlesha,2,Budha,112.05,00°N00′ 00″,255.57,138.25,16.11,1991-03-01 16:30:00
Yam ,26°Tula46′ 05″, Vishakha,3,Guru,206.77,15°N24′ 34″,-0.005,-127.87,-2.99,1991-03-01 18:00:00
Rahu ,02°Maka13′ 56″, U Ashadha,2,Surya,272.23,00°N00′ 00″,-0.05,297.97,-20.96,1991-03-01 18:00:00
Ketu ,02°Kark13′ 56″, Punarvasu,4,Guru,92.23,00°N00′ 00″,-0.05,117.97,20.96,1991-03-01 18:00:00
Spashth Rahu ,03°Maka34′ 03″, U Ashadha,3,Surya,273.57,00°N00′ 00″,-0.12,299.37,-20.7,1991-03-01 18:00:00
Spashth Ketu ,03°Kark34′ 03″, Pushya,1,Shani,93.57,00°N00′ 00″,-0.12,119.37,20.7,1991-03-01 18:00:00
Surya ,16°Kumb48′ 12″, Shatabhisha,4,Rahu,316.8,00°S00′ 00″,1.0,342.04,-7.61,1991-03-01 18:30:00
Chandra ,28°Simh02′ 10″, U Phalguni,1,Surya,148.04,04°S11′ 35″,13.66,170.79,-0.59,1991-03-01 18:30:00
Mangal ,20°Vibh14′ 16″, Rohini,4,Chandra,50.24,02°N10′ 00″,0.45,72.34,24.63,1991-03-01 18:30:00
Budha ,16°Kumb23′ 57″, Shatabhisha,3,Rahu,316.4,01°S49′ 19″,1.87,342.36,-9.45,1991-03-01 18:30:00
Guru ,11°Kark07′ 11″, Pushya,3,Shani,101.12,00°N47′ 29″,-0.09,127.41,19.82,1991-03-01 18:30:00
Shukra ,15°Meen12′ 18″, U Bhadrapada,4,Shani,345.21,00°S47′ 00″,1.23,8.53,2.83,1991-03-01 18:30:00
Shani ,08°Maka45′ 48″, U Ashadha,4,Surya,278.76,00°S13′ 06″,0.1,304.83,-19.82,1991-03-01 18:30:00
Surya ,16°Kumb43′ 11″, Shatabhisha,4,Rahu,316.72,00°S00′ 00″,1.0,341.96,-7.65,1991-03-01 16:30:00
Chandra ,26°Simh53′ 48″, U Phalguni,1,Surya,146.9,04°S07′ 59″,13.68,169.77,-0.09,1991-03-01 16:30:00
Mangal ,20°Vibh12′ 01″, Rohini,4,Chandra,50.2,02°N10′ 02″,0.45,72.3,24.63,1991-03-01 16:30:00
Budha ,16°Kumb14′ 35″, Shatabhisha,3,Rahu,316.24,01°S49′ 40″,1.87,342.22,-9.52,1991-03-01 16:30:00
Guru ,11°Kark07′ 37″, Pushya,3,Shani,101.13,00°N47′ 28″,-0.09,127.42,19.82,1991-03-01 16:30:00
Shukra ,15°Meen06′ 10″, U Bhadrapada,4,Shani,345.1,00°S47′ 12″,1.23,8.43,2.78,1991-03-01 16:30:00
Lagna ,02°Simh40′ 09″, Magha,1,Ketu,122.67,00°N00′ 00″,254.83,148.64,12.71,1991-03-01 17:30:00
Arun ,19°Dhan07′ 28″, P Ashadha,2,Shukra,259.12,00°S20′ 04″,0.04,284.01,-23.15,1991-03-01 18:30:00
Varun ,22°Dhan23′ 44″, P Ashadha,3,Shukra,262.4,00°N47′ 29″,0.03,287.4,-21.68,1991-03-01 18:30:00
Yam ,26°Tula46′ 04″, Vishakha,3,Guru,206.77,15°N24′ 34″,-0.005,-127.87,-2.99,1991-03-01 18:30:00
Rahu ,02°Maka13′ 52″, U Ashadha,2,Surya,272.23,00°N00′ 00″,-0.05,297.97,-20.96,1991-03-01 18:30:00
Ketu ,02°Kark13′ 52″, Punarvasu,4,Guru,92.23,00°N00′ 00″,-0.05,117.97,20.96,1991-03-01 18:30:00
Spashth Rahu ,03°Maka33′ 54″, U Ashadha,3,Surya,273.57,00°N00′ 00″,-0.12,299.37,-20.7,1991-03-01 18:30:00
Spashth Ketu ,03°Kark33′ 54″, Pushya,1,Shani,93.57,00°N00′ 00″,-0.12,119.37,20.7,1991-03-01 18:30:00
Shani ,08°Maka45′ 18″, U Ashadha,4,Surya,278.76,00°S13′ 05″,0.1,304.82,-19.82,1991-03-01 16:30:00
Arun ,19°Dhan07′ 17″, P Ashadha,2,Shukra,259.12,00°S20′ 04″,0.04,284.01,-23.15,1991-03-01 16:30:00
Varun ,22°Dhan23′ 37″, P Ashadha,3,Shukra,262.39,00°N47′ 29″,0.03,287.4,-21.68,1991-03-01 16:30:00
Surya ,16°Kumb45′ 41″, Shatabhisha,4,Rahu,316.76,00°S00′ 00″,1.0,342.0,-7.63,1991-03-01 17:30:00
Chandra ,27°Simh27′ 59″, U Phalguni,1,Surya,147.47,04°S09′ 48″,13.67,170.28,-0.34,1991-03-01 17:30:00
Lagna ,23°Simh59′ 04″, P Phalguni,4,Shukra,143.98,00°N00′ 00″,256.86,168.71,4.85,1991-03-01 19:30:00
Yam ,26°Tula46′ 06″, Vishakha,3,Guru,206.77,15°N24′ 32″,-0.005,-127.87,-2.99,1991-03-01 16:30:00
Rahu ,02°Maka14′ 08″, U Ashadha,2,Surya,272.24,00°N00′ 00″,-0.05,297.97,-20.95,1991-03-01 16:30:00
Ketu ,02°Kark14′ 08″, Punarvasu,4,Guru,92.24,00°N00′ 00″,-0.05,117.97,20.95,1991-03-01 16:30:00
Spashth Rahu ,03°Maka34′ 29″, U Ashadha,3,Surya,273.57,00°N00′ 00″,-0.12,299.38,-20.7,1991-03-01 16:30:00
Spashth Ketu ,03°Kark34′ 29″, Pushya,1,Shani,93.57,00°N00′ 00″,-0.12,119.38,20.7,1991-03-01 16:30:00
Mangal ,20°Vibh13′ 08″, Rohini,4,Chandra,50.22,02°N10′ 01″,0.45,72.32,24.63,1991-03-01 17:30:00
Budha ,16°Kumb19′ 16″, Shatabhisha,3,Rahu,316.32,01°S49′ 29″,1.87,342.29,-9.49,1991-03-01 17:30:00
Guru ,11°Kark07′ 24″, Pushya,3,Shani,101.12,00°N47′ 29″,-0.09,127.41,19.82,1991-03-01 17:30:00
Shukra ,15°Meen09′ 14″, U Bhadrapada,4,Shani,345.15,00°S47′ 06″,1.23,8.48,2.8,1991-03-01 17:30:00
Shani ,08°Maka45′ 33″, U Ashadha,4,Surya,278.76,00°S13′ 05″,0.1,304.83,-19.82,1991-03-01 17:30:00
Arun ,19°Dhan07′ 23″, P Ashadha,2,Shukra,259.12,00°S20′ 04″,0.04,284.01,-23.15,1991-03-01 17:30:00
Varun ,22°Dhan23′ 40″, P Ashadha,3,Shukra,262.39,00°N47′ 29″,0.03,287.4,-21.68,1991-03-01 17:30:00
Surya ,16°Kumb50′ 42″, Shatabhisha,4,Rahu,316.85,00°S00′ 00″,1.0,342.08,-7.6,1991-03-01 19:30:00
Chandra ,28°Simh36′ 18″, U Phalguni,1,Surya,148.61,04°S13′ 21″,13.65,171.3,-0.84,1991-03-01 19:30:00
Mangal ,20°Vibh15′ 23″, Rohini,4,Chandra,50.26,02°N09′ 59″,0.45,72.36,24.63,1991-03-01 19:30:00
Budha ,16°Kumb28′ 38″, Shatabhisha,3,Rahu,316.48,01°S49′ 08″,1.87,342.43,-9.42,1991-03-01 19:30:00
Guru ,11°Kark06′ 58″, Pushya,3,Shani,101.12,00°N47′ 29″,-0.09,127.41,19.82,1991-03-01 19:30:00
Shukra ,15°Meen15′ 22″, U Bhadrapada,4,Shani,345.26,00°S46′ 54″,1.23,8.57,2.85,1991-03-01 19:30:00
Shani ,08°Maka46′ 04″, U Ashadha,4,Surya,278.77,00°S13′ 06″,0.1,304.84,-19.81,1991-03-01 19:30:00
Lagna ,16°Kark42′ 19″, Ashlesha,1,Budha,106.71,00°N00′ 00″,257.11,132.9,17.62,1991-03-01 16:00:00
Lagna ,11°Kark19′ 32″, Pushya,3,Shani,101.33,00°N00′ 00″,259.83,127.42,19.0,1991-03-01 15:30:00
Yam ,26°Tula46′ 05″, Vishakha,3,Guru,206.77,15°N24′ 33″,-0.005,-127.87,-2.99,1991-03-01 17:30:00
Rahu ,02°Maka14′ 00″, U Ashadha,2,Surya,272.23,00°N00′ 00″,-0.05,297.97,-20.96,1991-03-01 17:30:00
Ketu ,02°Kark14′ 00″, Punarvasu,4,Guru,92.23,00°N00′ 00″,-0.05,117.97,20.96,1991-03-01 17:30:00
Spashth Rahu ,03°Maka34′ 12″, U Ashadha,3,Surya,273.57,00°N00′ 00″,-0.12,299.37,-20.7,1991-03-01 17:30:00
Spashth Ketu ,03°Kark34′ 12″, Pushya,1,Shani,93.57,00°N00′ 00″,-0.12,119.37,20.7,1991-03-01 17:30:00
Arun ,19°Dhan07′ 34″, P Ashadha,2,Shukra,259.13,00°S20′ 04″,0.04,284.02,-23.15,1991-03-01 19:30:00
Varun ,22°Dhan23′ 48″, P Ashadha,3,Shukra,262.4,00°N47′ 29″,0.03,287.4,-21.68,1991-03-01 19:30:00
Yam ,26°Tula46′ 04″, Vishakha,3,Guru,206.77,15°N24′ 35″,-0.005,-127.88,-2.99,1991-03-01 19:30:00
Rahu ,02°Maka13′ 44″, U Ashadha,2,Surya,272.23,00°N00′ 00″,-0.05,297.96,-20.96,1991-03-01 19:30:00
Ketu ,02°Kark13′ 44″, Punarvasu,4,Guru,92.23,00°N00′ 00″,-0.05,117.96,20.96,1991-03-01 19:30:00
Spashth Rahu ,03°Maka33′ 36″, U Ashadha,3,Surya,273.56,00°N00′ 00″,-0.12,299.36,-20.7,1991-03-01 19:30:00
Spashth Ketu ,03°Kark33′ 36″, Pushya,1,Shani,93.56,00°N00′ 00″,-0.12,119.36,20.7,1991-03-01 19:30:00
Surya ,16°Kumb41′ 55″, Shatabhisha,4,Rahu,316.7,00°S00′ 00″,1.0,341.94,-7.65,1991-03-01 16:00:00
Chandra ,26°Simh36′ 41″, P Phalguni,4,Shukra,146.61,04°S07′ 03″,13.69,169.52,0.04,1991-03-01 16:00:00
Mangal ,20°Vibh11′ 27″, Rohini,4,Chandra,50.19,02°N10′ 03″,0.45,72.29,24.63,1991-03-01 16:00:00
Budha ,16°Kumb12′ 14″, Shatabhisha,3,Rahu,316.2,01°S49′ 45″,1.87,342.18,-9.53,1991-03-01 16:00:00
Guru ,11°Kark07′ 44″, Pushya,3,Shani,101.13,00°N47′ 28″,-0.09,127.42,19.82,1991-03-01 16:00:00
Shukra ,15°Meen04′ 38″, U Bhadrapada,4,Shani,345.08,00°S47′ 15″,1.23,8.41,2.77,1991-03-01 16:00:00
Shani ,08°Maka45′ 10″, U Ashadha,4,Surya,278.75,00°S13′ 05″,0.1,304.82,-19.82,1991-03-01 16:00:00
Surya ,16°Kumb40′ 40″, Shatabhisha,4,Rahu,316.68,00°S00′ 00″,1.0,341.93,-7.66,1991-03-01 15:30:00
Chandra ,26°Simh19′ 34″, P Phalguni,4,Shukra,146.33,04°S06′ 08″,13.7,169.26,0.16,1991-03-01 15:30:00
Mangal ,20°Vibh10′ 53″, Rohini,4,Chandra,50.18,02°N10′ 04″,0.45,72.28,24.63,1991-03-01 15:30:00
Budha ,16°Kumb09′ 54″, Shatabhisha,3,Rahu,316.17,01°S49′ 50″,1.87,342.15,-9.55,1991-03-01 15:30:00
Guru ,11°Kark07′ 50″, Pushya,3,Shani,101.13,00°N47′ 28″,-0.09,127.42,19.82,1991-03-01 15:30:00
Shukra ,15°Meen03′ 06″, U Bhadrapada,4,Shani,345.05,00°S47′ 18″,1.23,8.39,2.76,1991-03-01 15:30:00
Lagna ,18°Simh38′ 09″, P Phalguni,2,Shukra,138.64,00°N00′ 00″,256.32,163.75,6.92,1991-03-01 19:00:00
Arun ,19°Dhan07′ 14″, P Ashadha,2,Shukra,259.12,00°S20′ 04″,0.04,284.01,-23.15,1991-03-01 16:00:00
Varun ,22°Dhan23′ 35″, P Ashadha,3,Shukra,262.39,00°N47′ 29″,0.03,287.4,-21.68,1991-03-01 16:00:00
Yam ,26°Tula46′ 06″, Vishakha,3,Guru,206.77,15°N24′ 31″,-0.005,-127.87,-2.99,1991-03-01 16:00:00
Rahu ,02°Maka14′ 12″, U Ashadha,2,Surya,272.24,00°N00′ 00″,-0.05,297.97,-20.95,1991-03-01 16:00:00
Ketu ,02°Kark14′ 12″, Punarvasu,4,Guru,92.24,00°N00′ 00″,-0.05,117.97,20.95,1991-03-01 16:00:00
Spashth Rahu ,03°Maka34′ 38″, U Ashadha,3,Surya,273.58,00°N00′ 00″,-0.12,299.38,-20.7,1991-03-01 16:00:00
Spashth Ketu ,03°Kark34′ 38″, Pushya,1,Shani,93.58,00°N00′ 00″,-0.12,119.38,20.7,1991-03-01 16:00:00
Shani ,08°Maka45′ 03″, U Ashadha,4,Surya,278.75,00°S13′ 05″,0.1,304.82,-19.82,1991-03-01 15:30:00
Arun ,19°Dhan07′ 11″, P Ashadha,2,Shukra,259.12,00°S20′ 04″,0.04,284.01,-23.15,1991-03-01 15:30:00
Varun ,22°Dhan23′ 33″, P Ashadha,3,Shukra,262.39,00°N47′ 29″,0.03,287.4,-21.68,1991-03-01 15:30:00
Yam ,26°Tula46′ 06″, Vishakha,3,Guru,206.77,15°N24′ 31″,-0.005,-127.87,-2.99,1991-03-01 15:30:00
Rahu ,02°Maka14′ 16″, U Ashadha,2,Surya,272.24,00°N00′ 00″,-0.05,297.97,-20.95,1991-03-01 15:30:00
Ketu ,02°Kark14′ 16″, Punarvasu,4,Guru,92.24,00°N00′ 00″,-0.05,117.97,20.95,1991-03-01 15:30:00
Spashth Rahu ,03°Maka34′ 47″, U Ashadha,3,Surya,273.58,00°N00′ 00″,-0.12,299.38,-20.7,1991-03-01 15:30:00
Surya ,16°Kumb49′ 27″, Shatabhisha,4,Rahu,316.82,00°S00′ 00″,1.0,342.06,-7.61,1991-03-01 19:00:00
Chandra ,28°Simh19′ 13″, U Phalguni,1,Surya,148.32,04°S12′ 28″,13.65,171.05,-0.72,1991-03-01 19:00:00
Mangal ,20°Vibh14′ 49″, Rohini,4,Chandra,50.25,02°N10′ 00″,0.45,72.35,24.63,1991-03-01 19:00:00
Budha ,16°Kumb26′ 17″, Shatabhisha,3,Rahu,316.44,01°S49′ 14″,1.87,342.4,-9.44,1991-03-01 19:00:00
Guru ,11°Kark07′ 04″, Pushya,3,Shani,101.12,00°N47′ 29″,-0.09,127.41,19.82,1991-03-01 19:00:00
Shukra ,15°Meen13′ 50″, U Bhadrapada,4,Shani,345.23,00°S46′ 57″,1.23,8.55,2.84,1991-03-01 19:00:00
Shani ,08°Maka45′ 56″, U Ashadha,4,Surya,278.77,00°S13′ 06″,0.1,304.83,-19.82,1991-03-01 19:00:00
Spashth Ketu ,03°Kark34′ 47″, Pushya,1,Shani,93.58,00°N00′ 00″,-0.12,119.38,20.7,1991-03-01 15:30:00
Arun ,19°Dhan07′ 31″, P Ashadha,2,Shukra,259.13,00°S20′ 04″,0.04,284.01,-23.15,1991-03-01 19:00:00
Varun ,22°Dhan23′ 46″, P Ashadha,3,Shukra,262.4,00°N47′ 29″,0.03,287.4,-21.68,1991-03-01 19:00:00
Yam ,26°Tula46′ 04″, Vishakha,3,Guru,206.77,15°N24′ 35″,-0.005,-127.87,-2.99,1991-03-01 19:00:00
Rahu ,02°Maka13′ 48″, U Ashadha,2,Surya,272.23,00°N00′ 00″,-0.05,297.96,-20.96,1991-03-01 19:00:00
Ketu ,02°Kark13′ 48″, Punarvasu,4,Guru,92.23,00°N00′ 00″,-0.05,117.96,20.96,1991-03-01 19:00:00
Spashth Rahu ,03°Maka33′ 45″, U Ashadha,3,Surya,273.56,00°N00′ 00″,-0.12,299.36,-20.7,1991-03-01 19:00:00
Spashth Ketu ,03°Kark33′ 45″, Pushya,1,Shani,93.56,00°N00′ 00″,-0.12,119.36,20.7,1991-03-01 19:00:00
