Planet,Longitude,Nakshatra,Padam,Nakshatra Lord,Full Degree,Latitude/Shara,Speed(deg/day),RightAscension,Declination/Kranti,DateTime
Shani ,02°Maka00′ 15″, U Ashadha,2,Surya,272.0,00°S08′ 37″,0.12,297.75,-21.14,1991-01-01 19:30:00
Arun ,16°Dhan01′ 59″, P Ashadha,1,Shukra,256.03,00°S19′ 09″,0.06,280.66,-23.4,1991-01-01 19:30:00
Varun ,20°Dhan24′ 17″, P Ashadha,3,Shukra,260.4,00°N47′ 25″,0.04,285.27,-21.9,1991-01-01 19:30:00
Yam ,26°Tula01′ 24″, Vishakha,2,Guru,206.02,14°N58′ 49″,0.03,-128.68,-3.22,1991-01-01 19:30:00
Rahu ,05°Maka21′ 19″, U Ashadha,3,Surya,275.36,00°N00′ 00″,-0.05,301.24,-20.34,1991-01-01 19:30:00
Ketu ,05°Kark21′ 19″, Pushya,1,Shani,95.36,00°N00′ 00″,-0.05,121.24,20.34,1991-01-01 19:30:00
Spashth Rahu ,04°Maka17′ 39″, U Ashadha,3,Surya,274.29,00°N00′ 00″,-0.004,300.13,-20.56,1991-01-01 19:30:00
Spashth Ketu ,04°Kark17′ 39″, Pushya,1,Shani,94.29,00°N00′ 00″,-0.004,120.13,20.56,1991-01-01 19:30:00
Lagna ,00°Mitu25′ 36″, Mrigashirsha,3,Mangal,60.43,00°N00′ 00″,356.03,83.64,23.31,1991-01-01 16:00:00
Surya ,16°Dhan52′ 08″, P Ashadha,2,Shukra,256.87,00°S00′ 00″,1.02,281.54,-23.02,1991-01-01 16:00:00
Chandra ,27°Mitu38′ 18″, Punarvasu,3,Guru,87.64,00°N36′ 46″,14.97,113.21,22.35,1991-01-01 16:00:00
Mangal ,04°Vibh00′ 53″, Krittika,3,Surya,34.01,02°N20′ 34″,0.0,54.92,21.94,1991-01-01 16:00:00
Budha ,00°Dhan21′ 16″, Mula,1,Ketu,240.35,03°N07′ 50″,-0.36,263.71,-20.18,1991-01-01 16:00:00
Guru ,18°Kark11′ 29″, Ashlesha,1,Budha,108.19,00°N41′ 00″,-0.1,134.59,17.87,1991-01-01 16:00:00
Shukra ,01°Maka39′ 46″, U Ashadha,2,Surya,271.66,01°S17′ 49″,1.25,297.62,-22.34,1991-01-01 16:00:00
Shani ,01°Maka59′ 14″, U Ashadha,2,Surya,271.99,00°S08′ 36″,0.12,297.74,-21.14,1991-01-01 16:00:00
Arun ,16°Dhan01′ 27″, P Ashadha,1,Shukra,256.02,00°S19′ 09″,0.06,280.65,-23.4,1991-01-01 16:00:00
Lagna ,07°Kark20′ 14″, Pushya,2,Shani,97.34,00°N00′ 00″,262.79,123.3,19.92,1991-01-01 19:00:00
Surya ,16°Dhan59′ 46″, P Ashadha,2,Shukra,257.0,00°S00′ 00″,1.02,281.67,-23.01,1991-01-01 19:00:00
Lagna ,26°Mitu07′ 56″, Punarvasu,2,Guru,86.13,00°N00′ 00″,276.76,111.5,21.97,1991-01-01 18:00:00
Varun ,20°Dhan23′ 58″, P Ashadha,3,Shukra,260.4,00°N47′ 25″,0.04,285.26,-21.91,1991-01-01 16:00:00
Yam ,26°Tula01′ 09″, Vishakha,2,Guru,206.02,14°N58′ 46″,0.03,-128.69,-3.22,1991-01-01 16:00:00
Rahu ,05°Maka21′ 47″, U Ashadha,3,Surya,275.36,00°N00′ 00″,-0.05,301.25,-20.34,1991-01-01 16:00:00
Ketu ,05°Kark21′ 47″, Pushya,1,Shani,95.36,00°N00′ 00″,-0.05,121.25,20.34,1991-01-01 16:00:00
Spashth Rahu ,04°Maka17′ 42″, U Ashadha,3,Surya,274.3,00°N00′ 00″,-0.01,300.13,-20.56,1991-01-01 16:00:00
Spashth Ketu ,04°Kark17′ 42″, Pushya,1,Shani,94.3,00°N00′ 00″,-0.01,120.13,20.56,1991-01-01 16:00:00
Chandra ,29°Mitu30′ 27″, Punarvasu,3,Guru,89.51,00°N26′ 28″,14.94,115.17,21.87,1991-01-01 19:00:00
Mangal ,04°Vibh00′ 54″, Krittika,3,Surya,34.02,02°N20′ 38″,0.002,54.92,21.94,1991-01-01 19:00:00
